番号,都道府県,地区名称等,種別,選定年月日,選定基準,面積（ha）,pdfurl,geo3x3
9,福島,下郷町大内宿,宿場町,1981-04-18,（三）,11.3,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_09.pdf,E9163398139
32,福井,南越前町今庄宿,宿場町,2021-08-02,（二）,9.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_32.pdf,E91384953518
33,福井,若狭町熊川宿,宿場町,1996-07-09,（三）,10.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_33.pdf,E91384521538
37,長野,塩尻市奈良井,宿場町,1978-05-31,（三）,17.6,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_37.pdf,E91397115469
41,長野,南木曽町妻籠宿,宿場町,1976-09-04,（三）,1245.4,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_41.pdf,E91386649277
52,三重,亀山市関宿,宿場町,1984-12-10,（三）,25.0,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_52.pdf,E91382457858
68,兵庫,丹波篠山市福住,宿場町・農村集落,2012-12-28,（三）,25.2,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_68.pdf,E91373945868
85,岡山,矢掛町矢掛宿,宿場町,2020-12-23,（二）,11.5,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_85.pdf,E91371271469
93,山口,萩市佐々並市,宿場町,2011-06-20,（二）,20.8,https://www.bunka.go.jp/seisaku/bunkazai/shokai/hozonchiku/pdf/93738601_93.pdf,E91267851383
